price,area,bedrooms,bathrooms,location,bhk,property_type,furnishing,balcony
₹10 Cr,2400,,,Showroom for Sale in Ranipura Indore,,,,
₹32 Lac,500,1,,1 BHK  House for Sale in Ranipura Indore,1,House,Unfurnished,
₹24 Lac,850,2,,2 BHK Flat  for Sale in   Indore,2,,Unfurnished,
₹31 Lac,550,2,,2 BHK  House for Sale in Swasthya Nagar Indore,2,House,Unfurnished,
₹18.2 Lac,600,3,,3 BHK  House for Sale in Swasthya Nagar Indore,3,House,Unfurnished,
₹34 Lac,840,2,,2 BHK  House for Sale in Swasthya Nagar Indore,2,House,Semi-Furnished,
₹45 Lac,1000,3,,3 BHK  House for Sale in Swasthya Nagar Indore,3,House,Semi-Furnished,
₹58 Lac,1200,3,,3 BHK  House for Sale in Swasthya Nagar Indore,3,House,Unfurnished,
₹75.6 Lac,2500,4,,4 BHK  House for Sale in Ram Bagh Indore,4,House,Unfurnished,
₹76 Lac,834,,,Plot/Land for Sale in Ram Bagh Indore,,,,
₹2.75 Cr,6500,9,,9 BHK  House for Sale in Ram Bagh Indore,9,House,Semi-Furnished,
₹1.50 Cr,4000,10,,> 10 BHK  House for Sale in Laxmi Bai Nagar Indore,10,House,Semi-Furnished,
₹13 Cr,,,,Industrial Land for Sale in Laxmi Bai Nagar Indore,,,,
₹75 Lac,675,3,,"3 BHK  House for Sale in Singapore Gold City, Indore Bypass Road Indore",3,House,Semi-Furnished,3
₹45 Lac,1285,3,,"3 BHK Flat  for Sale in  Pagnis Paga, Indore",3,Apartment,Semi-Furnished,
₹55 Lac,1100,3,,"3 BHK Flat  for Sale in  Shiv Vatika Brij Residency, Shiv Vatika Brij Residency, Nipania, Indore",3,,Unfurnished,3
₹16 Lac,800,,,"Plot/Land for Sale in Sakar Real Life, Khandwa Road Indore",,,,
₹3.10 Cr,1647,,,"Land for Sale in Near Bombay Hospital, Scheme No 114 Part 2 Indore",,,,
₹12 Lac,,,,Plot/Land for Sale in Simrol Indore,,,,
₹65 Lac,600,,,Office Space for Sale in Mahavir nagar Indore,,,,
₹50 Lac,3500,,,"Plot/Land for Sale in Ras Lake View Plot, Khandwa Road Indore",,,,
₹7.50 Cr,20000,,,Plot/Land for Sale in Nipania Indore,,,,
₹56 Lac,800,3,,3 BHK  House for Sale in Silicon City Indore,3,House,Semi-Furnished,3
₹45 Lac,750,3,,3 BHK  House for Sale in Kalindi Mectown Indore,3,House,,
₹1.20 Cr,2800,5,,5 BHK Villa for Sale in Hare Krishna Vihar Indore,5,Villa,,
₹1 Cr,2153,,,"Plot/Land for Sale in Omaxe Hills, Indore Bypass Road Indore",,,,
₹45 Lac,1500,,,Plot/Land for Sale in Nemawar Road Indore,,,,
₹45 Lac,,,,"Plot/Land for Sale in Ideal Paramount City, Super Corridor Indore",,,,
₹78 Lac,1500,,,"Plot/Land for Sale in Nakshatra Anand Vihar, Khandwa Road Indore",,,,
₹2.91 Cr,3080,4,,"4 BHK Flat  for Sale in  Kanchan Bagh, Indore",4,,Unfurnished,
₹23 Lac,750,2,2,"2 BHK Flat  for Sale in  Shahnai Residency 2 , Shahnai Residency 2, Manavta Nagar, Indore",2,,Semi-Furnished,
₹65 Lac,770,2,,"2 BHK Flat  for Sale in  IBD Belmont Park, IBD Belmont Park, Vijay Nagar, Indore",2,,Furnished,2
₹1.40 Cr,2100,,,Plot/Land for Sale in DLF Garden City Indore,,,,
₹65 Lac,850,3,,"3 BHK Flat  for Sale in  Bengali Square, Indore",3,,Unfurnished,2
₹32 Lac,1000,2,,"2 BHK Flat  for Sale in  Bhawar Kuan Square, Indore",2,,Furnished,2
₹76 Lac,820,,,"Plot/Land for Sale in Man Royal Greens, Niranjanpur Indore",,,,
₹1.80 Cr,2450,3,,3 BHK  House for Sale in Silicon City Indore,3,House,Semi-Furnished,3
₹21 Lac,600,,,Plot/Land for Sale in Dharampuri Indore,,,,
₹80 Lac,1300,,,Shop for Sale in Laxmi Bai Nagar Indore,,,,
₹55 Lac,1400,5,,5 BHK  House for Sale in Shyam Nagar Annex A Indore,5,House,Unfurnished,
₹12.1 Lac,400,4,,4 BHK  House for Sale in Shyam Nagar Annex A Indore,4,House,Furnished,
₹20 Lac,450,1,,1 BHK  House for Sale in Shyam Nagar Annex A Indore,1,House,Unfurnished,
₹15.1 Lac,500,3,,3 BHK  House for Sale in Shyam Nagar Annex A Indore,3,House,Unfurnished,
₹46 Lac,35,4,,4 BHK Villa for Sale in Shyam Nagar Annex A Indore,4,Villa,Unfurnished,
₹1 Cr,1450,3,,"3 BHK  House for Sale in Aarone Countywalk, Indore Bypass Road Indore",3,House,Unfurnished,3
₹15 Lac,,,,Plot/Land for Sale in Mhow Indore,,,,
₹31 Lac,1250,3,,3 BHK  House for Sale in Chitawad Indore,3,House,Unfurnished,
₹25 Lac,700,2,,"2 BHK Flat  for Sale in  Mal Ganj, Indore",2,,Semi-Furnished,
₹26 Lac,750,1,,1 BHK  House for Sale in Khatipura Indore,1,House,Unfurnished,
₹75 Lac,1500,4,,4 BHK  House for Sale in Khatiwala Tank Indore,4,House,Unfurnished,
₹1.49 Cr,2133,,,Plot/Land for Sale in Panchwati Colony Indore,,,,
₹10 Lac,,,,Plot/Land for Sale in Omaxe City 1 Indore,,,,
₹40 Lac,936,3,,"3 BHK Flat  for Sale in  Sarthak Estate Galaxy, Sarthak Estate Galaxy, Rau, Indore",3,,Unfurnished,2
₹16 Lac,4000,,,Plot/Land for Sale in Manpur Indore,,,,
₹20 Lac,555,1,,"1 BHK Flat  for Sale in  Chitawad, Indore",1,,Unfurnished,
₹24.8 Lac,800,,,Plot/Land for Sale in Mal Ganj Indore,,,,
₹2.75 Cr,806,,,Shop for Sale in Mal Ganj Indore,,,,
₹70.5 Lac,1500,,,Industrial Land for Sale in Khatipura Indore,,,,
₹2.06 Cr,4002,,,Plot/Land for Sale in DLF Gardencity Phase 2 Indore,,,,
₹45 Lac,2000,4,,4 BHK  House for Sale in Green Park Colony Indore,4,House,Semi-Furnished,
₹39 Lac,1000,,,"Plot/Land for Sale in Premium Pride, Saver Village Indore",,Villa,,
₹12 Lac,4000,,,Plot/Land for Sale in Simrol Indore,,,,
₹85 Lac,1350,,,Plot/Land for Sale in Revenue Nagar Indore,,,,
₹64 Lac,800,,,Plot/Land for Sale in Revenue Nagar Indore,,,,
₹74.4 Lac,2400,,,Plot/Land for Sale in Ravindra Nagar Indore,,,,
₹72.6 Lac,2400,4,,4 BHK  House for Sale in Ravindra Nagar Indore,4,House,Semi-Furnished,
₹30 Lac,1200,,,"Studio Apartment  for Sale in  Ravindra Nagar, Indore",,Apartment,Unfurnished,
₹45.4 Lac,1500,3,,3 BHK  House for Sale in Ravindra Nagar Indore,3,House,Semi-Furnished,
₹90.8 Lac,3000,4,,4 BHK  House for Sale in Ravindra Nagar Indore,4,House,Unfurnished,
₹56 Lac,1458,,,"Plot/Land for Sale in Infocity, Indore Bypass Road Indore",,,,
₹70 Lac,1700,5,,5 BHK  House for Sale in Ganesh Nagar Indore,5,House,Unfurnished,
₹44 Lac,1200,,,Plot/Land for Sale in Ganesh Nagar Indore,,,,
₹27 Lac,27060,,,Agricultural Land for Sale in Tillor Khurd Indore,,,,
₹50 Lac,,,,Agricultural Land for Sale in Tillor Khurd Indore,,,,
₹45 Lac,1000,,,Plot/Land for Sale in Vidhya Palace Indore,,,,
₹20.2 Lac,325,1,,1 BHK  House for Sale in Vidhya Palace Indore,1,House,Unfurnished,
₹28.5 Lac,950,2,,2 BHK  House for Sale in Vidhya Palace Indore,2,House,Furnished,
₹50 Lac,1050,2,,2 BHK  House for Sale in Vidhya Palace Indore,2,House,Unfurnished,
₹1.25 Cr,1800,,,Plot/Land for Sale in AB Road Indore,,,,
₹1.20 Cr,7428,,,Plot/Land for Sale in Old Palasia Indore,,,,
₹20 Lac,510,1,,"1 BHK Flat  for Sale in  Shri Nagar, Indore",1,,Furnished,1
₹40 Lac,1000,2,,"2 BHK Flat  for Sale in  Sahil Residency, Sahil Residency, Pagnis Paga, Indore",2,,Semi-Furnished,2
₹52 Lac,1325,4,,4 BHK  House for Sale in Musakhedi Indore,4,House,Semi-Furnished,
₹2.10 Cr,2650,4,,4 BHK Villa for Sale in Mahalaxmi Nagar Indore,4,Villa,Semi-Furnished,5
₹13 Lac,,,,Plot/Land for Sale in Ambedkar Nagar Indore,,,,
₹1.60 Cr,750,4,,4 BHK  House for Sale in Radio Colony Indore,4,House,Semi-Furnished,
₹61.6 Lac,1100,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹59 Lac,1500,5,,5 BHK  House for Sale in Palhar nagar Indore,5,House,Unfurnished,
₹65 Lac,1000,2,,2 BHK  House for Sale in Palhar nagar Indore,2,House,Semi-Furnished,
₹42 Lac,1100,2,,"2 BHK Flat  for Sale in  New Rani Bagh, Indore",2,,Furnished,
₹40 Lac,785,2,,"2 BHK Flat  for Sale in  New Rani Bagh, Indore",2,,Furnished,
₹22.5 Lac,711,2,,"2 BHK Flat  for Sale in  Girdhar nagar, Indore",2,,Unfurnished,
₹24.2 Lac,800,3,,3 BHK  House for Sale in Girdhar nagar Indore,3,House,Unfurnished,
₹42 Lac,740,2,,"2 BHK Flat  for Sale in  Girdhar nagar, Indore",2,,,
₹90 Lac,5500,,,Plot/Land for Sale in Khandwa Road Indore,,,,
₹27.2 Lac,850,,,Plot/Land for Sale in Rau Indore,,,,
₹51 Lac,800,2,,2 BHK  House for Sale in Palhar nagar Indore,2,House,Unfurnished,
₹50 Lac,800,2,,2 BHK  House for Sale in Palhar nagar Indore,2,House,Unfurnished,
₹10.7 Lac,600,,,Plot/Land for Sale in Vijay Nagar Indore,,,,
